Country,Birth Rate,Co2-Emissions,Fertility Rate,Gasoline Price,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Physicians per thousand,Population,Unemployment rate,development_status
Spain,7.9,244002,1.26,1.26,1.39E+12,2.5,83.3,4,5.6,3.87,47076781,13.96,3
Sri Lanka,15.83,23362,2.2,0.88,84008783756,6.4,76.8,36,0.35,1,21803000,4.2,2
Sudan,32.18,20000,4.41,0.95,18902284476,42.1,65.1,295,0.41,0.26,42813238,16.53,1
Suriname,18.54,1738,2.42,1.29,3985250737,16.9,71.6,120,1.641350011,1.21,581372,7.33,2
Sweden,11.4,43252,1.76,1.42,5.31E+11,2.2,82.5,4,5.22198761,3.98,10285453,6.48,3
Switzerland,10,34477,1.52,1.45,7.03E+11,3.7,83.6,5,5.904591639,4.3,8574832,4.58,3
Syria,23.69,28830,2.81,0.83,40405006007,14,71.8,31,1.02,1.22,17070135,8.37,2
Tajikistan,30.76,5310,3.59,0.71,8116626794,30.4,70.9,17,0.23,1.7,9321018,11.02,1
Tanzania,36.7,11973,4.89,0.87,63177068175,37.6,65,524,0.09,0.01,58005463,1.98,2
Thailand,10.34,283763,1.53,0.71,5.44E+11,7.8,76.9,37,1.06,0.81,69625582,0.75,2
East Timor,29.42,495,4.02,1.1,1673540300,39.3,69.3,142,0.6,0.72,3500000,4.55,1
Togo,33.11,3000,4.32,0.71,5459979417,47.4,60.8,396,0.34,0.08,8082366,2.04,1
Tonga,24.3,128,3.56,1.011631124,450353314,13.4,70.8,52,1.271785609,0.52,100209,1.12,2
Trinidad and Tobago,12.94,43868,1.73,0.54,24100202834,16.4,73.4,67,2.25,4.17,1394973,2.69,3
Tunisia,17.56,29937,2.2,0.73,38797709924,14.6,76.5,43,0.47,1.3,11694719,16.02,2
Turkey,16.03,372725,2.07,1.42,7.54E+11,9.1,77.4,17,3.45,1.85,83429615,13.49,2
Turkmenistan,23.83,70630,2.79,0.29,40761142857,39.3,68.1,7,0.88,2.22,5942089,3.91,2
Uganda,38.14,5680,4.96,0.94,34387229486,33.8,63,375,0.01,0.17,44269594,1.84,1
Ukraine,8.7,202250,1.3,0.83,1.54E+11,7.5,71.6,19,0.84,2.99,44385155,8.88,2
United Arab Emirates,10.33,206324,1.41,0.49,4.21E+11,6.5,77.8,3,3.541730247,2.53,9770529,2.35,3
United Kingdom,11,379025,1.68,1.46,2.83E+12,3.6,81.3,7,10.13,2.81,66834405,3.85,3
United States,11.6,5006302,1.73,0.71,2.14E+13,5.6,78.5,19,7.25,2.61,328239523,14.7,3
Uruguay,13.86,6766,1.97,1.5,56045912952,6.4,77.8,17,1.66,5.05,3461734,8.73,3
Uzbekistan,23.3,91811,2.42,1.03,57921286440,19.1,71.6,29,0.24,2.37,33580650,5.92,2
Vanuatu,29.6,147,3.78,1.31,917058851,22.3,70.3,72,1.56,0.17,299882,4.39,2
Venezuela,17.88,164175,2.27,0,4.82E+11,21.4,72.1,125,0.01,1.92,28515829,8.8,3
Vietnam,16.75,192668,2.05,0.8,2.62E+11,16.5,75.3,43,0.73,0.82,96462106,2.01,2
Yemen,30.45,10609,3.79,0.92,26914402224,42.9,66.1,164,-0.10061784,0.31,29161922,12.91,1
Zambia,36.19,5141,4.63,1.4,23064722446,40.4,63.5,213,0.24,1.19,17861030,11.43,2
Zimbabwe,30.68,10983,3.62,1.34,21440758800,33.9,61.2,458,-0.133215474,0.21,14645468,4.95,2
